x_m,y_m
1.176972389221191406e+00,1.623422056436538696e-01
1.170423269271850586e+00,1.824370026588439941e-01
1.171735644340515137e+00,2.009124308824539185e-01
1.172933578491210938e+00,2.195153385400772095e-01
1.174607038497924805e+00,2.386665046215057373e-01
1.168240189552307129e+00,2.584598362445831299e-01
1.181694388389587402e+00,2.771646678447723389e-01
1.179408192634582520e+00,2.975301742553710938e-01
1.177001714706420898e+00,3.164691030979156494e-01
1.170337438583374023e+00,3.366386592388153076e-01
1.179311156272888184e+00,3.570155203342437744e-01
1.196297526359558105e+00,3.777988553047180176e-01
1.188821077346801758e+00,3.968220651149749756e-01
1.193492054939270020e+00,4.169725775718688965e-01
1.193964242935180664e+00,4.360042810440063477e-01
1.198728799819946289e+00,4.549238979816436768e-01
1.203142642974853516e+00,4.737083613872528076e-01
1.195785760879516602e+00,4.935429394245147705e-01
1.204754710197448730e+00,5.123496651649475098e-01
1.205067634582519531e+00,5.317202806472778320e-01
1.209370136260986328e+00,5.506313443183898926e-01
1.209722876548767090e+00,5.698662996292114258e-01
1.210651993751525879e+00,5.894118547439575195e-01
1.207722783088684082e+00,6.085464358329772949e-01
1.215173363685607910e+00,6.273365616798400879e-01
1.206961274147033691e+00,6.467262506484985352e-01
1.215483784675598145e+00,6.654017567634582520e-01
1.205894351005554199e+00,6.845452785491943359e-01
1.211637258529663086e+00,7.035237550735473633e-01
1.200369596481323242e+00,7.190717458724975586e-01
1.074126243591308594e+00,9.677296280860900879e-01
1.055071711540222168e+00,9.713221192359924316e-01
1.036034941673278809e+00,9.723299145698547363e-01
1.017543911933898926e+00,9.702587127685546875e-01
9.984369874000549316e-01,9.713597893714904785e-01
9.773502945899963379e-01,9.701159596443176270e-01
9.565614461898803711e-01,9.711636900901794434e-01
9.353098869323730469e-01,9.757620096206665039e-01
9.207784533500671387e-01,9.749730229377746582e-01
9.008231163024902344e-01,9.771994948387145996e-01
8.806375265121459961e-01,9.783968329429626465e-01
8.619549274444580078e-01,9.810171723365783691e-01
8.424561619758605957e-01,9.812761545181274414e-01
8.232373595237731934e-01,9.767482876777648926e-01
8.040982484817504883e-01,9.778134226799011230e-01
7.841298580169677734e-01,9.814106225967407227e-01
7.660736441612243652e-01,9.801180958747863770e-01
7.471633553504943848e-01,9.761849045753479004e-01
7.283145785331726074e-01,9.797812104225158691e-01
7.089583277702331543e-01,9.725275039672851562e-01
6.936385035514831543e-01,9.789382219314575195e-01
6.701785922050476074e-01,9.723440408706665039e-01
6.558769941329956055e-01,9.798282384872436523e-01
6.368818879127502441e-01,9.895190000534057617e-01
6.139570474624633789e-01,9.858823418617248535e-01
5.938869118690490723e-01,9.879755377769470215e-01
5.759251117706298828e-01,9.931879043579101562e-01
5.567713975906372070e-01,9.961627721786499023e-01
5.377889275550842285e-01,1.006806731224060059e+00
5.182664990425109863e-01,9.937410950660705566e-01
4.990955889225006104e-01,1.003838419914245605e+00
4.798977375030517578e-01,1.003433585166931152e+00
4.607733488082885742e-01,1.000999927520751953e+00
4.418542385101318359e-01,1.007349848747253418e+00
4.266581833362579346e-01,1.009539008140563965e+00
4.031166732311248779e-01,1.000560283660888672e+00
3.848415911197662354e-01,1.004835605621337891e+00
3.697554171085357666e-01,1.009809494018554688e+00
3.510425984859466553e-01,1.008979797363281250e+00
3.313725292682647705e-01,1.008335709571838379e+00
3.119542598724365234e-01,1.013751626014709473e+00
2.899075448513031006e-01,1.010536432266235352e+00
2.703104317188262939e-01,1.005318403244018555e+00
2.553405463695526123e-01,1.008496999740600586e+00
2.359639555215835571e-01,1.013048768043518066e+00
2.125877737998962402e-01,1.016954660415649414e+00
1.975315213203430176e-01,1.010979413986206055e+00
1.748403608798980713e-01,1.019598484039306641e+00
1.559226065874099731e-01,1.016705274581909180e+00
1.367010474205017090e-01,1.013430595397949219e+00
1.174943670630455017e-01,1.016969203948974609e+00
9.791268408298492432e-02,1.018652558326721191e+00
7.874374836683273315e-02,1.022377252578735352e+00
5.874269828200340271e-02,1.022294282913208008e+00
-1.698155701160430908e-01,8.129757642745971680e-01
-1.679309904575347900e-01,7.927536964416503906e-01
-1.778767406940460205e-01,7.749279141426086426e-01
-1.794296056032180786e-01,7.523903846740722656e-01
-1.828716397285461426e-01,7.144284248352050781e-01
-1.868579834699630737e-01,6.955283880233764648e-01
-1.876051574945449829e-01,6.794731020927429199e-01
-1.878401935100555420e-01,6.602614521980285645e-01
-1.937782615423202515e-01,6.406955122947692871e-01
-1.922014951705932617e-01,6.227145195007324219e-01
-2.027056217193603516e-01,6.044830083847045898e-01
-1.966452598571777344e-01,5.849087834358215332e-01
-1.975717246532440186e-01,5.657418966293334961e-01
-1.881292909383773804e-01,5.449138879776000977e-01
-1.883859634399414062e-01,5.234870314598083496e-01
-2.008563727140426636e-01,5.025499463081359863e-01
-1.973591446876525879e-01,4.834593832492828369e-01
-2.098071873188018799e-01,4.458522498607635498e-01
-2.081543207168579102e-01,4.254851937294006348e-01
-2.039175331592559814e-01,4.027831256389617920e-01
-2.174595445394515991e-01,3.775273859500885010e-01
-2.109680771827697754e-01,3.521841764450073242e-01
-2.172705531120300293e-01,3.270926475524902344e-01
-2.142657339572906494e-01,3.077894151210784912e-01
-2.135367840528488159e-01,2.896920442581176758e-01
-2.221779823303222656e-01,2.714738845825195312e-01
-2.138480097055435181e-01,2.561365067958831787e-01
-2.090045660734176636e-01,2.367739528417587280e-01
-2.131931930780410767e-01,2.179419547319412231e-01
-2.078044861555099487e-01,1.986608952283859253e-01
-2.068227976560592651e-01,1.794265210628509521e-01
-2.072398662567138672e-01,1.610104590654373169e-01
-2.076335847377777100e-01,1.423231512308120728e-01
-2.084518969058990479e-01,1.225615814328193665e-01
-2.020581513643264771e-01,1.037886813282966614e-01
